STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
        853;2022011717:18;    1;   -999;    0.0;    0.0;   0;   101.30;2022011718:00;eor
        853;2022011718:18;    1;   -999;    0.0;    0.0;   0;   110.51;2022011719:00;eor
        853;2022011719:18;    1;   -999;    0.0;    0.0;   0;   119.96;2022011720:00;eor
        853;2022011720:18;    1;   -999;    0.0;    0.0;   0;   129.28;2022011721:00;eor
        853;2022011721:18;    1;   -999;    0.0;    0.0;   0;   137.92;2022011722:00;eor
        853;2022011722:18;    1;   -999;    0.0;    0.0;   0;   145.02;2022011723:00;eor
        853;2022011723:18;    1;   -999;    0.0;    0.0;   0;   149.23;2022011800:00;eor
        853;2022011800:18;    1;   -999;    0.0;    0.0;   0;   149.23;2022011801:00;eor
        853;2022011801:18;    1;   -999;    0.0;    0.0;   0;   145.00;2022011802:00;eor
        853;2022011802:18;    1;   -999;    0.0;    0.0;   0;   137.89;2022011803:00;eor
        853;2022011803:18;    1;   -999;    0.0;    0.0;   0;   129.23;2022011804:00;eor
        853;2022011804:18;    1;   -999;    0.0;    0.0;   0;   119.90;2022011805:00;eor
        853;2022011805:18;    1;   -999;    0.0;    0.0;   0;   110.44;2022011806:00;eor
        853;2022011806:18;    1;   -999;    0.0;    0.0;   0;   101.22;2022011807:00;eor
        853;2022011807:18;    1;   -999;    1.0;    1.0;   0;    92.59;2022011808:00;eor
        853;2022011808:18;    1;   -999;    7.0;    7.0;   0;    84.91;2022011809:00;eor
        853;2022011809:18;    1;   -999;   17.0;   17.0;   0;    78.57;2022011810:00;eor
        853;2022011810:18;    1;   -999;   25.0;   25.0;   0;    74.00;2022011811:00;eor
        853;2022011811:18;    1;   -999;   38.0;   38.0;   0;    71.59;2022011812:00;eor
        853;2022011812:18;    1;   -999;   39.0;   39.0;   0;    71.58;2022011813:00;eor
        853;2022011813:18;    1;   -999;   32.0;   32.0;   0;    73.98;2022011814:00;eor
        853;2022011814:18;    1;   -999;   13.0;   13.0;   0;    78.53;2022011815:00;eor
        853;2022011815:18;    1;   -999;    4.0;    4.0;   0;    84.86;2022011816:00;eor
        853;2022011816:18;    1;   -999;    1.0;    1.0;   0;    92.53;2022011817:00;eor
